"04463: Personer på reise (mill. personer), etter reisetype, statistikkvariabel og kvartal"

"reisetype";"Personer 2018K3";"Personer 2018K4";"Personer 2019K1";"Personer 2019K2";"Personer 2019K3";"Personer 2019K4";"Personer 2020K1";"Personer 2020K2"
"Reiser i alt";3.19;2.41;2.48;2.58;3.00;2.44;1.98;1.63
"Reiser i alt innenlands";1.34;1.16;1.48;0.88;0.87;1.18;1.16;1.55
"Reiser i alt utenlands";0.91;0.85;0.61;1.28;1.59;0.81;0.56;0.06
"Reiser i alt innenlands og utenlands";0.94;0.40;0.39;0.42;0.54;0.44;0.26;0.02
"Feriereiser i alt";3.09;2.08;2.10;2.34;2.81;2.17;1.70;1.52
"Feriereiser innenlands";1.29;0.98;1.29;0.77;0.83;1.06;1.00;1.45
"Feriereiser utenlands";0.94;0.82;0.56;1.25;1.54;0.82;0.54;0.06
"Feriereiser innenlands og utenlands";0.86;0.27;0.26;0.32;0.44;0.29;0.16;0.01
"Yrkesreiser i alt";0.44;0.67;0.65;0.49;0.48;0.61;0.45;0.16
"Yrkesreiser innenlands";0.28;0.40;0.43;0.25;0.20;0.38;0.31;0.15
"Yrkesreiser utenlands";0.11;0.21;0.15;0.19;0.25;0.15;0.10;0.01
"Yrkesreiser innenlands og utenlands";0.05;0.05;0.07;0.05;0.04;0.07;0.03;0.00
